real_age,image_path,age_group
4,/content/filtered_data/image_0.png,young
18,/content/filtered_data/image_1.png,young
80,/content/filtered_data/image_2.png,old
50,/content/filtered_data/image_3.png,middle
17,/content/filtered_data/image_4.png,young
27,/content/filtered_data/image_5.png,middle
24,/content/filtered_data/image_6.png,middle
43,/content/filtered_data/image_7.png,middle
26,/content/filtered_data/image_8.png,middle
39,/content/filtered_data/image_9.png,middle
17,/content/filtered_data/image_10.png,young
51,/content/filtered_data/image_11.png,middle
2,/content/filtered_data/image_12.png,young
1,/content/filtered_data/image_13.png,young
6,/content/filtered_data/image_14.png,young
18,/content/filtered_data/image_15.png,young
24,/content/filtered_data/image_16.png,middle
5,/content/filtered_data/image_17.png,young
40,/content/filtered_data/image_18.png,middle
16,/content/filtered_data/image_19.png,young
29,/content/filtered_data/image_20.png,middle
1,/content/filtered_data/image_21.png,young
35,/content/filtered_data/image_22.png,middle
25,/content/filtered_data/image_23.png,middle
5,/content/filtered_data/image_24.png,young
30,/content/filtered_data/image_25.png,middle
24,/content/filtered_data/image_26.png,middle
35,/content/filtered_data/image_27.png,middle
65,/content/filtered_data/image_28.png,old
13,/content/filtered_data/image_29.png,young
1,/content/filtered_data/image_30.png,young
28,/content/filtered_data/image_31.png,middle
27,/content/filtered_data/image_32.png,middle
16,/content/filtered_data/image_33.png,young
4,/content/filtered_data/image_34.png,young
16,/content/filtered_data/image_35.png,young
2,/content/filtered_data/image_36.png,young
31,/content/filtered_data/image_37.png,middle
10,/content/filtered_data/image_38.png,young
4,/content/filtered_data/image_39.png,young
1,/content/filtered_data/image_40.png,young
34,/content/filtered_data/image_41.png,middle
15,/content/filtered_data/image_42.png,young
30,/content/filtered_data/image_43.png,middle
8,/content/filtered_data/image_44.png,young
20,/content/filtered_data/image_45.png,middle
16,/content/filtered_data/image_46.png,young
19,/content/filtered_data/image_47.png,young
40,/content/filtered_data/image_48.png,middle
42,/content/filtered_data/image_49.png,middle
23,/content/filtered_data/image_50.png,middle
25,/content/filtered_data/image_51.png,middle
1,/content/filtered_data/image_52.png,young
58,/content/filtered_data/image_53.png,middle
23,/content/filtered_data/image_54.png,middle
44,/content/filtered_data/image_55.png,middle
7,/content/filtered_data/image_56.png,young
21,/content/filtered_data/image_57.png,middle
14,/content/filtered_data/image_58.png,young
28,/content/filtered_data/image_59.png,middle
24,/content/filtered_data/image_60.png,middle
10,/content/filtered_data/image_61.png,young
40,/content/filtered_data/image_62.png,middle
26,/content/filtered_data/image_63.png,middle
34,/content/filtered_data/image_64.png,middle
48,/content/filtered_data/image_65.png,middle
39,/content/filtered_data/image_66.png,middle
5,/content/filtered_data/image_67.png,young
24,/content/filtered_data/image_68.png,middle
27,/content/filtered_data/image_69.png,middle
45,/content/filtered_data/image_70.png,middle
24,/content/filtered_data/image_71.png,middle
21,/content/filtered_data/image_72.png,middle
24,/content/filtered_data/image_73.png,middle
24,/content/filtered_data/image_74.png,middle
26,/content/filtered_data/image_75.png,middle
14,/content/filtered_data/image_76.png,young
17,/content/filtered_data/image_77.png,young
2,/content/filtered_data/image_78.png,young
27,/content/filtered_data/image_79.png,middle
23,/content/filtered_data/image_80.png,middle
25,/content/filtered_data/image_81.png,middle
18,/content/filtered_data/image_82.png,young
58,/content/filtered_data/image_83.png,middle
25,/content/filtered_data/image_84.png,middle
29,/content/filtered_data/image_85.png,middle
37,/content/filtered_data/image_86.png,middle
50,/content/filtered_data/image_87.png,middle
35,/content/filtered_data/image_88.png,middle
22,/content/filtered_data/image_89.png,middle
28,/content/filtered_data/image_90.png,middle
59,/content/filtered_data/image_91.png,middle
30,/content/filtered_data/image_92.png,middle
17,/content/filtered_data/image_93.png,young
53,/content/filtered_data/image_94.png,middle
51,/content/filtered_data/image_95.png,middle
24,/content/filtered_data/image_96.png,middle
